Mae,Turma,Código,Nome da Disciplina,CH,TEO,Professor,DiaSemana,Turno,Tipo
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
# >>>>>>>>>> AIP12 (NOITE) <<<<<<<<<<,,,,,,,,,
AI1,AI1P12,12,Cálculo I,,,Maria Margarida,Seg,1º,T
AI1,AI1P12,12,Cálculo I,,,Maria Margarida,Seg,2º,T
AI1,AI1P12,13,Pensamento Lógico Computacional Com Phyton,,,Joice,Ter,1º,T
AI1,AI1P12,13,Pensamento Lógico Computacional Com Phyton,,,Joice,Ter,2º,P
AI1,AI1P12,14,Introdução A Automação Industrial,,,Eder,Qua,1º,T
AI1,AI1P12,14,Introdução A Automação Industrial,,,Eder,Qua,2º,T
AI1,AI1P12,15,Lógica Matemática,,,Yuri,Qui,1º,T
AI1,AI1P12,15,Lógica Matemática,,,Yuri,Qui,2º,T
AI1,AI1P12,16,Metodologia De Estudo E Pesquisa,,,Cláudio,Sex,1º,T
AI1,AI1P12,16,Metodologia De Estudo E Pesquisa,,,Cláudio,Sex,2º,T
AI1,AI1P12,17,Desenvolvimento Sustentável (Ead-Ava),,,*,Qua,Pré,EAD
AI1,AI1P12,18,Direitos Humanos (Ead-Ava),,,*,Qui,Pré,EAD
AI1,AI1P12,19,Proj Integ Multidisciplinar I,,,*,Sex,Pré,EAD
AI1,AI1P12,20,Atividade De Extensão 1,,,*,Sex,Pré,EAD
# >>>>>>>>>> AI3P12 (NOITE) <<<<<<<<<<,,,,,,,,,
AI2 / AI3,AI2P12 / AI3P12,19C4,Instações Elétricas,,,Ivan,Seg,1º,T
AI2 / AI3,AI2P12 / AI3P12,19C4,Instações Elétricas,,,Ivan,Seg,2º,P
AI2 / AI3,AI2P12 / AI3P12,303S,Eletronica Digital,,,Ivan,Ter,1º,T
AI2 / AI3,AI2P12 / AI3P12,303S,Eletronica Digital,,,Ivan,Ter,2º,P
AI2 / AI3,AI2P12 / AI3P12,313S,Eletronica Analogica,,,Adauto,Qua,1º,T
AI2 / AI3,AI2P12 / AI3P12,313S,Eletronica Analogica,,,Adauto,Qua,2º,P
AI2 / AI3,AI2P12 / AI3P12,333S,Linguagem de Program Aplicada,,,Eder,Sex,1º,T
AI2 / AI3,AI2P12 / AI3P12,333S,Linguagem de Program Aplicada,,,Eder,Sex,2º,P
AI2 / AI3,AI2P12 / AI3P12,22D5,Estudos Disciplinares,,,*,Qua,Pré,EAD
AI2 / AI3,AI2P12 / AI3P12,45B5,Proj Inte Multidisciplinar Iii,,,*,Qui,Pré,EAD
AI2 / AI3,AI2P12 / AI3P12,D99B,Calculo ii,,,*,Sex,Pré,EAD
AI2 / AI3,AI2P12 / AI3P12,D996,Economia E Mercado,,,*,Sex,Pré,EAD
